references copy
Item type;Authors;Title;Journal;Publication year;Volume;Issue;Pages;Edition;Publisher;Address;Book title;Proceedings title;Conference location;Date published;ISBN;ISSN;URLs;DOI;Abstract;Keywords;Notes;Sub-type;Series
Conference Paper;Kontogiannis K,Cronin D,Giammaria A,Brealey C,Grigoriou M;DevOps Toolchains for Continuous Engineering and Improvement;;2017;;;326;;IBM Corp.;USA;;Proceedings of the 27th Annual International Conference on Computer Science and Software Engineering;Markham, Ontario, Canada;2017;;;;;"The workshop participants focused-on, and primarily discussed, three main areas a) models to denote and reconcile software system related data, obtained from different and diverse DevOps sources such as version control systems, bug reporting systems, collaboration tools and testing frameworks; b) analytics on software artifacts stored or created by DevOps tools; these artifacts include not only source code but also deployment scripts, configuration files, build specifications, bug reports, version histories, developer's comments and notes and c) infrastructures to support continuous maintenance and deployment by providing insights on deploy or no-deploy decision making choices, and by considering and analyzing information that is collected from the overall application and its constituent components. The workshop topics are related to the IBM DevOps Analytics, IBM DevOps Insights, and IBM DevOps Continuous Delivery (Open Toolchain) frameworks.";;;;CASCON '17
Conference Paper;Gottesheim W;Challenges, Benefits and Best Practices of Performance Focused DevOps;;2015;;;3;;Association for Computing Machinery;New York, NY, USA;;Proceedings of the 4th International Workshop on Large-Scale Testing;Austin, Texas, USA;2015;9781450333375;;"https://doi-org.proxy.bnl.lu/10.1145/2693182.2693187;http://dx.doi.org/10.1145/2693182.2693187";10.1145/2693182.2693187;Did you know that just a handful of root causes are responsible for the majority of application issues like crashes, slow performance or incorrect application behavior? Non-optimized database access, deployment mistakes, memory leaks, or inefficient coding are just some examples. Companies that think Continuous Delivery and DevOps will solve all their problems typically fail as they just run into these problems faster. In this session we take a closer look at the most common problems, how to detect them and how to incorporate performance into your DevOps culture by automatically detecting these top problems.;performance, continuous delivery, devops, testing;;;LT '15
Conference Paper;Jennings RA,Gannod G;DevOps - Preparing Students for Professional Practice;;2019;;;1–5;;IEEE Press;Covington, KY, USA;;2019 IEEE Frontiers in Education Conference (FIE);;2019;;;"https://doi-org.proxy.bnl.lu/10.1109/FIE43999.2019.9028598;http://dx.doi.org/10.1109/FIE43999.2019.9028598";10.1109/FIE43999.2019.9028598;This work in progress paper presents a course on DevOps which is a combination of software development skills and software operations skills. This new course is for sophomores and juniors in the computer science program who want to be prepared for professional software engineering careers. Introduction to DevOps Is a hands-on laboratory course that brings students through Git for source code management, Capybara for automated testing, AWS, Docker, and Ansible for automated virtual machine provisioning and configuration, and Jenkins for Continuous Integration. Unlike our current course offerings which primarily focus on the single developer context in a localized environment, this course prepares students for highly collaborative, team-based projects that use cloud resources to facilitate management of the software deployment pipeline. We developed this course based on feedback from our external advisory board and under consultation from a number of industrial partners. This is complementary to our current offerings in software engineering which focus on Agile software practices. In this paper we describe the core concepts, the design, learning experiences, technologies, and lessons learned through developing and conducting this course. In future work we hope to present student perceptions of learning and provide data collected through direct assessment of student outcomes.;;;;
Book;Bangera S;DevOps for Serverless Applications: Design, Deploy, and Monitor Your Serverless Applications Using DevOps Practices;;2018;;;;;Packt Publishing;;;;;2018;9781788623445;;;;Set up complete CI and CD pipelines for your serverless applications using DevOps principles Key Features Understand various services for designing serverless architecture Build CD pipelines using various cloud providers for your serverless applications Implement DevOps best practices when building serverless applications Book Description Serverless applications are becoming very popular among developers and are generating a buzz in the tech market. Many organizations struggle with the effective implementation of DevOps with serverless applications. DevOps for Serverless Applications takes you through different DevOps-related scenarios to give you a solid foundation in serverless deployment. You will start by understanding the concepts of serverless architecture and development, and why they are important. Then, you will get to grips with the DevOps ideology and gain an understanding of how it fits into the Serverless Framework. You'll cover deployment framework building and deployment with CI and CD pipelines for serverless applications. You will also explore log management and issue reporting in the serverless environment. In the concluding chapters, you will learn important security tips and best practices for secure pipeline management. By the end of this book, you will be in a position to effectively build a complete CI and CD delivery pipeline with log management for serverless applications. What you will learn Explore serverless fundamentals and effectively combine them with DevOps Set up CI and CD with AWS Lambda and other popular Serverless service providers with the help of the Serverless Framework Perform monitoring and logging with serverless applications Set up a dynamic dashboard for different service providers Discover best practices for applying DevOps to serverless architecture Understand use cases for different serverless architectures Who this book is for DevOps for Serverless Applications is for DevOps engineers, architects, or anyone interested in understanding the DevOps ideology in the serverless world. You will learn to use DevOps with serverless and apply continuous integration, continuous delivery, testing, logging, and monitoring with serverless.;;;;
Journal Article;Lwakatare LE,Kilamo T,Karvonen T,Sauvola T,Heikkilä V,Itkonen J,Kuvaja P,Mikkonen T,Oivo M,Lassenius C;DevOps in Practice: A Multiple Case Study of Five Companies;Inf. Softw. Technol.;2019;114;C;217–230;;Butterworth-Heinemann;USA;;;;2019-10;;0950-5849;"https://doi-org.proxy.bnl.lu/10.1016/j.infsof.2019.06.010;http://dx.doi.org/10.1016/j.infsof.2019.06.010";10.1016/j.infsof.2019.06.010;;Continuous deployment, Agile, DevOps, Development, Operations;;;
Book;Kort W;DevOps on the Microsoft Stack;;2016;;;;1st;Apress;USA;;;;2016;9781484214473;;;;This book tells you everything you need to know to help your organization implement DevOps on the Microsoft platform. You will learn how to use Visual Studio, Visual Studio Team Services, and Azure to implement a complete DevOps process in your company. You will learn about Agile Project Management, Continuous Integration, Continuous Delivery, Technical Debt Management, Automatic Testing and Monitoring, and see how all these areas fit together. DevOps is important for organizations that want to make the best use of their resources and avoid costly mistakes. Teams that embrace DevOps deploy code up to 30 times more frequently than their competition and less than 50% of their deployments fail according to Puppet Labs State of DevOps survey. DevOps on the Microsoft Stack shows you how to help your organization implement DevOps, covering the tooling they will need and how to make everything work together while following best practices. The focus is not only on technology but also on the cultural issues that teams will face when implementing DevOps. The authors goal is to not only show you which tooling there is but help you to successfully use everything together to implement DevOps in your projects and organization. In this book, you'll learn: What DevOps is and how it can help development teams How to use Visual Studio, Visual Studio Team Services, and Azure to setup a DevOps process How to introduce DevOps to your organization and how to overcome problems;;;;
Book;Ravichandran A,Taylor K,Waterhouse P;DevOps for Digital Leaders: Reignite Business with a Modern DevOps-Enabled Software Factory;;2016;;;;1st;Apress;USA;;;;2016;9781484218419;;;;This book provides digital leaders who are accountable for the rapid development of high-quality software applications a concise guide to designing, implementing, measuring, and improving DevOps programs that are tailored to their organizations. In DevOps for Digital Leaders, deep collective experience on both sides of the devops divide informs the global thought leadership and penetrating insights of the authors, all three of whom are cross-portfolio DevOps leaders at CA Technologies. Aruna Ravichandran, Kieran Taylor, and Peter Waterhouse analyze the organizational benefits, costs, freedoms, and constraints of DevOps. They chart the coordinated strategy of organizational change, metrics, lean thinking, and investment that an enterprise must undertake to realize the full potential of DevOps and reach the sweet spot where accelerating code deployments drive increasing customer satisfaction, revenue, and profitability. Digital leaders are charged to bridge the devops disconnect if their organizations are to survive and flourish in a business world increasingly differentiated by the degree to which dynamic application software development harmonizes with operational resilience and reliability. This short book applies the DevOps perspective to the competitive challenge, faced by every high-performance IT organization today, of integrating and automating open source, cloud, and enterprise tools, processes, and techniques across the software development life cycle from requirements to release. What Readers Will Learn Remove dependencies and constraints so that parallel practices can accelerate the development of defect-free software Automate continuous delivery across the software life cycle to eliminate release bottlenecks, manual labor waste, and technical debt accumulation Generate virtualized production-style testing of applications through real-time behavioral analytics Adopt agile practices so operations teams can support developer productivity with automated feedback, streamline infrastructure monitoring, spot and resolve operations issues before they impact production, and improve customer experience Identify the DevOps metrics appropriate to your organization and integrate DevOps with your existing best practices and investment Who This Book Is ForIT leaders in largecompanies and government agencies who have any level of responsibility for the rapid development of high-quality software applications. The secondary readership is members of development and operations teams, security professionals, and service managers.;;;;
Conference Paper;Rimba P,Zhu L,Bass L,Kuz I,Reeves S;Composing Patterns to Construct Secure Systems;;2015;;;213–224;;IEEE Computer Society;USA;;Proceedings of the 2015 11th European Dependable Computing Conference (EDCC);;2015;9781467392891;;"https://doi-org.proxy.bnl.lu/10.1109/EDCC.2015.12;http://dx.doi.org/10.1109/EDCC.2015.12";10.1109/EDCC.2015.12;Building secure applications requires significant expertise. Secure platforms and security patterns have been proposed to alleviate this problem. However, correctly applying patterns to use platform features is still highly expertise-dependent. Patterns are informal and there is a gap between them and platform features. We propose the concept of reusable verified design fragments, which package security patterns and platform features and are verified to provide assurance about their security properties. Design fragments can be composed through four primitive tactics. The verification of the composed design against desired security properties is presented in an assurance case. We demonstrate our approach by securing a Continuous Deployment pipeline and show that the tactics are sufficient to compose design fragments into a secure system. Finally, we formally define composition tactics, which are intended to support the development of systems that are secure by construction.;;;;EDCC '15
Conference Paper;Yang B,Sailer A,Mohindra A;Survey and Evaluation of Blue-Green Deployment Techniques in Cloud Native Environments;;2019;;;69–81;;Springer-Verlag;Berlin, Heidelberg;;Service-Oriented Computing – ICSOC 2019 Workshops: WESOACS, ASOCA, ISYCC, TBCE, and STRAPS, Toulouse, France, October 28–31, 2019, Revised Selected Papers;Toulouse, France;2019;9783030459888;;"https://doi-org.proxy.bnl.lu/10.1007/978-3-030-45989-5_6;http://dx.doi.org/10.1007/978-3-030-45989-5_6";10.1007/978-3-030-45989-5_6;Today, the cloud computing customers assume that the services or applications consumed from the cloud are always on, highly available for uninterrupted utilization. The requirement then for the service providers becomes to minimize the planned maintenance windows duration in order to reduce their repercussions on the service availability for the consumers. We evaluate in this paper the continuous deployment methodology called Blue/Green deployment which aims to support zero maintenance windows, and consequently to avoid any interruption to the end users. Our experiments analyze the most common Blue/Green deployment techniques in the industry, measure and normalize their behavior, and aim to identify the approach with the best performing continuous delivery as compared to the available technologies.;High availability, Continuous delivery, Blue/Green deployment, Service discovery;;;
Journal Article;Hemon A,Lyonnet B,Rowe F,Fitzgerald B;From Agile to DevOps: Smart Skills and Collaborations;Information Systems Frontiers;2020;22;4;927–945;;Kluwer Academic Publishers;USA;;;;2020-08;;1387-3326;"https://doi-org.proxy.bnl.lu/10.1007/s10796-019-09905-1;http://dx.doi.org/10.1007/s10796-019-09905-1";10.1007/s10796-019-09905-1;Although agile software development approaches have become increasingly prevalent, many organizations, have found they were not able to achieve a more frequent release cadence, largely due to different departmental functions operating in silos. In an effort to remove these silos, companies have moved towards DevOps. As digitalization continues, companies increasingly implement DevOps. We suggest three different stages in the agile to DevOps transition: agile, continuous integration, and continuous delivery. Based on an in-depth case study in an organization with several years’ experience in DevOps, we identify a fundamental disruption in the soft skills that software teams are expected to possess, and in the patterns of collaboration among teams. Arguably, smartness may be characterized as being flexible, teaming up with people who have a different profile, belonging to a different function, and achieving a quicker delivery schedule. In light of this, we argue that DevOps leads to greater smartness for the Information Systems function.;Agile, Roles, Smartness, Skills, Collaboration, DevOps;;;
Conference Paper;Olszewska M,Waldén M;DevOps Meets Formal Modelling in High-Criticality Complex Systems;;2015;;;7–12;;Association for Computing Machinery;New York, NY, USA;;Proceedings of the 1st International Workshop on Quality-Aware DevOps;Bergamo, Italy;2015;9781450338172;;"https://doi-org.proxy.bnl.lu/10.1145/2804371.2804373;http://dx.doi.org/10.1145/2804371.2804373";10.1145/2804371.2804373;Quality is the cornerstone of high criticality systems, since in case of failure not only major financial losses are at stake, but also human lives. Formal methods that support model based-development are one of the methodologies used to achieve correct-by-construction systems. However, these are often heavy-weight and need a dedicated development process. In our work we combine formal and agile software engineering approaches. In particular, we use Event-B and Scrum to assure the quality and more rapid and flexible development. Since we identified that there are more prerequisites for a successful IT project, we use DevOps to embrace the development, quality assurance and IT operations. In this paper we show how formal modelling can function within DevOps and thus promote various dimensions of quality and continuous delivery.;DevOps, Agile, formal modelling, Scrum, Event-B;;;QUDOS 2015
Conference Paper;Cukier D;DevOps Patterns to Scale Web Applications Using Cloud Services;;2013;;;143–152;;Association for Computing Machinery;New York, NY, USA;;Proceedings of the 2013 Companion Publication for Conference on Systems, Programming, & Applications: Software for Humanity;Indianapolis, Indiana, USA;2013;9781450319959;;"https://doi-org.proxy.bnl.lu/10.1145/2508075.2508432;http://dx.doi.org/10.1145/2508075.2508432";10.1145/2508075.2508432;Scaling a web applications can be easy for simple CRUD software running when you use Platform as a Service Clouds (PaaS). But if you need to deploy a complex software, with many components and a lot users, you will need have a mix of cloud services in PaaS, SaaS and IaaS layers. You will also need knowledge in architecture patterns to make all these software components communicate accordingly. In this article, we share our experience of using cloud services to scale a web application. We show usage examples of load balancing, session sharing, e-mail delivery, asynchronous processing, logs processing, monitoring, continuous deployment, realtime user monitoring (RUM). These are a mixture of development and system operations (DevOps) that improved our application availability, scalability and performance.;tomcat, rest, email, cloud, AWS, paas, devops, SAAS, ELO7, APIs, scalability, cloud computing, ELB, scalable, web services, load balancing, S3, IAAS;;;SPLASH '13
Conference Paper;Brunnert A,Krcmar H;Detecting Performance Change in Enterprise Application Versions Using Resource Profiles;;2014;;;165–172;;ICST (Institute for Computer Sciences, Social-Informatics and Telecommunications Engineering);Brussels, BEL;;Proceedings of the 8th International Conference on Performance Evaluation Methodologies and Tools;Bratislava, Slovakia;2014;9781631900570;;"https://doi-org.proxy.bnl.lu/10.4108/icst.valuetools.2014.258184;http://dx.doi.org/10.4108/icst.valuetools.2014.258184";10.4108/icst.valuetools.2014.258184;Performance characteristics (i.e., response time, throughput, resource utilization) of enterprise applications change for each version due to feature additions, bug fixes or configuration changes. Therefore, performance needs to be continuously evaluated to detect performance changes (i.e., improvements or regressions). This work proposes a performance change detection process by creating and versioning resource profiles for each application version that is being built. Resource profiles are models that describe the resource demand per transaction for each component of an enterprise application and their control flow. Combined with workload and hardware environment models, resource profiles can be used to predict performance. Performance changes can be identified by comparing the performance metrics resulting from predictions of different resource profile versions (e.g., by observing an increase or decrease of response time). The source of changes in the resulting performance metrics can be identified by comparing the profiles of different application versions. We propose and evaluate an integration of these capabilities into a deployment pipeline of a continuous delivery process.;palladio component model, performance change detection, Java, enterprise applications, performance evaluation;;;VALUETOOLS '14
Conference Paper;Lwakatare LE,Karvonen T,Sauvola T,Kuvaja P,Olsson HH,Bosch J,Oivo M;Towards DevOps in the Embedded Systems Domain: Why is It So Hard?;;2016;;;5437–5446;;IEEE Computer Society;USA;;Proceedings of the 2016 49th Hawaii International Conference on System Sciences (HICSS);;2016;9780769556703;;"https://doi-org.proxy.bnl.lu/10.1109/HICSS.2016.671;http://dx.doi.org/10.1109/HICSS.2016.671";10.1109/HICSS.2016.671;DevOps is a predominant phenomenon in the web domain. Its two core principles emphasize collaboration between software development and operations, and the use of agile principles to manage deployment environments and their configurations. DevOps techniques, such as collaboration and behaviour-driven monitoring, have been used by web companies to facilitate continuous deployment of new functionality to customers. The techniques may also offer opportunities for continuous product improvement when adopted in the embedded systems domain. However, certain characteristics of embedded software development present obstacles for DevOps adoption, and as yet, there is no empirical evidence of its adoption in the embedded systems domain. In this study, we present the challenges for DevOps adoption in embedded systems using a multiple-case study approach with four companies. The contribution of this paper is to introduce the concept of DevOps adoption in the embedded systems domain and then to identify key challenges for the DevOps adoption.;;;;HICSS '16
Book;Armstrong S;DevOps for Networking;;2016;;;;;Packt Publishing;;;;;2016;9781786464859;;;;Boost your organization's growth by incorporating networking in the DevOps culture About This Book Implement networking fundamentals to the DevOps culture with ease, improving your organization's stabilityLeverage various open source tools such as Puppet and Ansible in order to automate your network This step-by-step learning guide collaborating the functions of developers and network administrators Who This Book Is For The book is aimed for Network Engineers, Developers, IT operations and System admins who are planning to incorporate Networking in DevOps culture and have no knowledge about it. What You Will Learn Learn about public and private cloud networking using AWS and OpenStack as examples Explore strategies that can be used by engineers or managers to initiate the cultural changes required to enable the automation of network functions Learn about SDN and how an API-driven approach to networking can help solve common networking problemsGet the hang of configuration management tools, such as Ansible and Jenkins, that can be used to orchestrate and configure network devicesSetup continuous integration, delivery, and deployment pipelines for network functions Create test environments for network changes Understand how load balancing is becoming more software defined with the emergence of microservice applications In Detail Frustrated that your company's network changes are still a manual set of activities that slow developers down? It doesn't need to be that way any longer, as this book will help your company and network teams embrace DevOps and continuous delivery approaches, enabling them to automate all network functions. This book aims to show readers network automation processes they could implement in their organizations. It will teach you the fundamentals of DevOps in networking and how to improve DevOps processes and workflows by providing automation in your network. You will be exposed to various networking strategies that are stopping your organization from scaling new projects quickly. You will see how SDN and APIs are influencing DevOps transformations, which will in turn help you improve the scalability and efficiency of your organizations networks operations. You will also find out how to leverage various configuration management tools such as Ansible, to automate your network. The book will also look at containers and the impact they are having on networking as well as looking at how automation impacts network security in a software-defined network. Style and approach This will be a comprehensive, learning guide for teaching our readers how networking can be leveraged to improve the DevOps culture for any organization.;;;;
Journal Article;Rahman A,Williams L;Source Code Properties of Defective Infrastructure as Code Scripts;Inf. Softw. Technol.;2019;112;C;148–163;;Butterworth-Heinemann;USA;;;;2019-08;;0950-5849;"https://doi-org.proxy.bnl.lu/10.1016/j.infsof.2019.04.013;http://dx.doi.org/10.1016/j.infsof.2019.04.013";10.1016/j.infsof.2019.04.013;;Continuous deployment, Devops, Configuration as code, Puppet, Defect prediction, Empirical study, Infrastructure as code;;;
Book;Davis A;Mastering Salesforce DevOps: A Practical Guide to Building Trust While Delivering Innovation;;2019;;;;1st;Apress;USA;;;;2019;9781484254721;;;;This practical guide brings DevOps principles to Salesforce development. It fits together two major movements within the IT world: the movement to Software/Platform as a Service (SaaS/PaaS), and the DevOps movement. While SaaS and PaaS allow companies to invest in their core competencies rather than maintain their own infrastructure, the goal of DevOps is to optimize the process of delivering software innovation and value. The release of Salesforce DX in late 2017 unlocks the possibility of a true DevOps workflow on Salesforce. But DevOps is new to the Salesforce world and there is not a widespread understanding of its goals and methods, and so adoption of Salesforce DX is still in the early stages. Mastering Salesforce DevOps explains how to build a powerful and comprehensive DevOps workflow for Salesforce-allowing you to finally deploy the world's most innovative platform using the world's most effective and efficient techniques. It addresses the need for a comprehensive guide to DevOps for Salesforce, allowing teams to bring proven practices from the IT world to resolve the hardest problems facing Salesforce developers today. What You Will Learn Improve company performance and software delivery performance using Salesforce DX Translate DevOps concepts into the unique language and practices of Salesforce Understand why and how you can implement Salesforce DX to achieve greater productivity and innovation Enable continuous delivery on Salesforce Build packages and architect code so it can be deployed easily Allow admins to participate in what has traditionally been a developer workflow Know the techniques for reducing the stress and risk of deployment Apply the full range of automated tests that can be used on Salesforce Who This Book Is for Salesforce developers, release managers, and those managing Salesforce development teams who need a guide to DevOps, and DevOps specialists who need to apply familiar concepts to Salesforce;;;;
Book;Kantsev V;Implementing DevOps on AWS;;2017;;;;;Packt Publishing;;;;;2017;9781786460141;;;;Key FeaturesWork through practical examples and gain DevOps best practices to successfully deploy applications on AWSSuccessfully provision and operate distributed application systems and your AWS infrastructure using DevOps Perform Continuous Integration and deployment and fine-tune the way you deliver on AWS Book Description Knowing how to adopt DevOps in your organization is becoming an increasingly important skill for developers, whether you work for a start-up, an SMB, or an enterprise. This book will help you to drastically reduce the amount of time spent on development and increase the reliability of your software deployments on AWS using popular DevOps methods of automation. To start, you will get familiar with the concept of IaC and will learn to design, deploy, and maintain AWS infrastructure. Further on, youll see how to design and deploy a Continuous Integration platform on AWS using either open source or AWS provided tools/services. Following on from the delivery part of the process, you will learn how to deploy a newly created, tested, and verified artefact to the AWS infrastructure without manual intervention. You will then find out what to consider in order to make the implementation of Configuration Management easier and more effective. Toward the end of the book, you will learn some tricks and tips to optimize and secure your AWS environment. By the end of the book, you will have mastered the art of implementing DevOps practices onto AWS. What you will learn Design and deploy infrastructure as code within your AWS Virtual Private Cloud Implement Continuous Integration using AWS Services Configure EC2 instances using Salt Stack Implement Continuous Deployment using Jenkins and the AWS CLI Collect important metrics and log data to gain more insight into infrastructure and applications Troubleshooting popular issues with some less known techniques using the AWS platform About the Author Veselin Kantsev is a DevOps professional and a Linux enthusiast who lives in London, UK. His introduction to Linux was as a System Administrator back in 2006. His focus for the past few years has been mostly on cloud technologies and the transition of the community from an Ops to a DevOps culture. He has worked with companies in various sectors such as Design, Media, and Finance, specializing in the migration of infrastructure onto AWS and the promotion of DevOps principles and practices;;;;
Book;Fawzy A;A Beginner's Guide to DevOps & Cloud: Concept & Implementation;;2018;;;;;;;;;;2018;9781949814019;;;;Learn How to Design Cloud Solutions and implement DevOpsWhat if you can design cloud solutions to improve your business services? What if you can utilize the DevOps methods and best practices to improve both development and operation process? Ahmed Fawzy, present an approached to improve IT Operations using DevOps and Cloud. Based on 14 years of experience building services for various organizations of different sizes across all sectors, Ahmed answer the question: How Cloud and DevOps deliver value to the Business? In this book you will learn: Understand Business Requirements How to become a DevOps Team member Create a process thats actually works How to migrate applications to Cloud How to realize the business value How to translate Goals into projects How to build a team, change the organization and overcome resistance. How to create a Business Case How to Assess the running processes and determine the GapLearn the core concepts of cloud computing What is a cloud? Private cloud, Public cloud IAAS, SAAS, PAAS Cloud benefits Advantages and disadvantages of cloud computing Learn the core concepts of DevOps Continuous delivery and continuous integration Infrastructure as code Get an overview on Microservices Containers Serverless Computing Site Reliability Engineering Learn this and more, Buy this book NOW to learn How Cloud and DevOps deliver value to the Business. Pick up your copy by clicking buy now at the top of this page!;;;;
Book;Abdoulaye PA;The DevOps Revolution: Disrupting the Status Quo - From IT Modernization to Digital Competitiveness;;2018;;;;;Independently published;;;;;2018;9781731123022;;;;Forget about those DevOps, Cloud Computing, AI, Big Data scattered implementations that solution vendors urge you to proceed to. They remain poor investments as long as they don't guarantee that your company will survive and succeed in markets disrupted by Google, Amazon, Facebook, Apple (GAFA) as well as Walmart and all the innovative tech startups out there. In this very practical guide, fast, and easy to read, Philippe Abdoulaye, featured several times on Forbes, ZDNet, Inc, cited as a major contributor to the future of the CIO job in 2018, tells all about how to properly and rapidly transform your business including IT around these technologies. Building on the failure and success cases in the increasingly raging digital competition Weight Watchers, Fitbit, Toys R Us, Sears he reveals the secrets, techniques, and tips of the very few companies that have been succeeding. Youll learn: (1) Why Amazons irruption in the toy market, kicked Toys R Us out of business (2) How Weight watchers struggled to survive the disrupted diet market (3) How the GAFAs platform business model is expanding the network economy a standard and changing the way we do business (4) Whats the DevOps culture and how to implement it (5) How DevOps when implemented entirely unlocks platform models competitive advantage (6) Why DevOps features agile and lean practices, continuous delivery, Microservices and containers enable the business benefits of platforms (7) How augmenting DevOps with Design Thinking principles makes it a powerful digital service development platform (8) Actionable DevOps-based Platform Architecture businesses can reuse (9) How WellBeing, Inc., took advantage of the BlueBird platform to disrupt the diet market and put leading and historical firms in troubles. Your company or your career success in the digital economy is your dream, one that you want to share with your staff, clients, and stakeholders. The DevOps Revolution is the complete tool you need to make that dream a reality, ignoring it would be a terrible mistake.;;;;
Conference Paper;Sharif M,Janto S,Lueckemeyer G;COaaS: Continuous Integration and Delivery Framework for HPC Using Gitlab-Runner;;2020;;;54–58;;Association for Computing Machinery;New York, NY, USA;;Proceedings of the 2020 the 4th International Conference on Big Data and Internet of Things;Singapore, Singapore;2020;9781450375504;;"https://doi-org.proxy.bnl.lu/10.1145/3421537.3421539;http://dx.doi.org/10.1145/3421537.3421539";10.1145/3421537.3421539;To quickly and securely deploy the latest version of hardware and software resources, DevOps communities use continuous delivery, continuous integration, and continuous deployment framework. This paper presents the methodology adopted by the m41ab team of the University of Applied Sciences to use the CI/CD framework in the development of workflows and shows the benefits that can be achieved using the CI/CD framework. Using High-Performance Computing (HPC) along with GitLab runners, we show that the use of Continuous Integration and Delivery framework can efficiently overcome software management challenges even without knowing much about HPC. We present our CI/CD infrastructure deployed for the transfer portal for m41ab, and explain how Gitlab-Runner allows end-user to adapt the environment to use HPC for computation diligently. The research, by use-case, shows the way forward to use the m41ab transfer portal for developing and maintaining the computing resources. Similarly traditional software, HPC software management is a complicated process that shares a number of objectives with enterprise-scale software development which obliges trustworthy updates and validation on a hard deadline.;M4LAB, continuous integration (CI), containers, software automation, continuous deployment (CD), High Performance Computing (HPC), simstadt, Message Passing Interface (MPI), software builds, continuous delivery (CD);;;BDIOT 2020
Conference Paper;Kontogiannis K,Brealey C,Giammaria A,Countryman B,Grigoriou M,Jimenez M,Fokaefs M,Kassam F,Bordeleau F;2nd Workshop on DevOps and Software Analytics for Continuous Engineering and Improvement;;2018;;;369–370;;IBM Corp.;USA;;Proceedings of the 28th Annual International Conference on Computer Science and Software Engineering;Markham, Ontario, Canada;2018;;;;;"The workshop participants focused and discussed the following areas a) techniques, tools, and schemas to mine software repositories including DevOps environments as well as techniques for denoting information extracted from these repositories. Such information includes not only source code but also deployment scripts, configuration files, build specifications, bug reports, version histories, developers comments and other notes; b) techniques to reconcile software system related data, obtained from such different and diverse DevOps sources (e.g. version control systems, bug reporting systems, collaboration tools and testing frameworks); c) static and dynamic software analysis techniques in order to identify and model direct and indirect dependencies in complex systems, with emphasis on micro-services based systems; and d) software analytics techniques in order to assess deployment risks in order to support continuous maintenance and deployment by providing insights on deploy or no-deploy decision making choices. The workshop topics are related to the IBM DevOps Analytics, IBM DevOps Insights, and IBM DevOps Continuous Delivery (Open Toolchain) frameworks.";;;;CASCON '18
Conference Paper;Alperowitz L,Weintraud AM,Kofler SC,Bruegge B;Continuous Prototyping;;2017;;;36–42;;IEEE Press;Buenos Aires, Argentina;;Proceedings of the 3rd International Workshop on Rapid Continuous Software Engineering;;2017;9781538604281;;;;"Developing for devices like smartphones, tablets or smartwatches is more than just ""shipping code"". Especially in mobile development there is a strong focus on user interface design and user experience. In order to explore the design space, development teams and designers need early feedback from users testing the designs.Continuous Delivery (CD) is a well-established technique for the delivery of software. In this paper we describe Continuous Prototyping which extends CD to cover the delivery of early artifacts like user interface mockups that usually do not benefit from an automated delivery process. Continuous Prototyping enables stakeholders to receive all artifacts through a unified delivery pipeline in fast cycles, from the first mockup to the finished product.We developed Prototyper as a tool to demonstrate the technical feasibility of Continuous Prototyping. Prototyper allows developers and designers to deliver mockups, mobile applications as will as a mixture of both using the same deployment pipeline. In a experiment with 42 developers we found that applying Continuous Prototyping not only reduces the cycle time for delivering mockups and receiving feedback but also facilitates the frequent delivery of mockups in early project stages.";;;;RCoSE '17
Conference Paper;Alonso J,Stefanidis K,Orue-Echevarria L,Blasi L,Walker M,Escalante M,López MJ,Dutkowski S;DECIDE: An Extended DevOps Framework for Multi-Cloud Applications;;2019;;;43–48;;Association for Computing Machinery;New York, NY, USA;;Proceedings of the 2019 3rd International Conference on Cloud and Big Data Computing;Oxford, United Kingdom;2019;9781450371650;;"https://doi-org.proxy.bnl.lu/10.1145/3358505.3358522;http://dx.doi.org/10.1145/3358505.3358522";10.1145/3358505.3358522;DevOps represents a model for application development that enables close collaboration between software developers and IT operations with the objective of implementing continuous integration, continuous delivery and continuous development of software applications. This paper proposes an approach for extending the DevOps philosophy with the objective of supporting the development and operation of multi-cloud native applications deployed over heterogeneous cloud resources. The authors present the extended DECIDE DevOps framework and the supporting tool suite developed in the context of the DECIDE H2020 action;DevOps, Cloud Computing, Continuous pre-deployment, continuous adaptation, Continuous Design, Multi-cloud, deployment optimization, continuous monitoring;;;ICCBDC 2019
