"Item type","Authors","Title","Journal","Publication year","Volume","Issue","Pages","Edition","Publisher","Address","Proceedings title","Conference location","Date published","ISBN","ISSN","URLs","DOI","Abstract","Keywords","Sub-type","Series"
"Journal Article","Perez-Palacin D,Merseguer J,Requeno JI,Guerriero M,Di Nitto E,Tamburri DA","A UML Profile for the Design, Quality Assessment and Deployment of Data-Intensive Applications","Softw. Syst. Model.","2019","18","6","3577–3614","","Springer-Verlag","Berlin, Heidelberg","","","2019-12","","1619-1366","https://doi-org.proxy.bnl.lu/10.1007/s10270-019-00730-3;http://dx.doi.org/10.1007/s10270-019-00730-3","10.1007/s10270-019-00730-3","Big Data or Data-Intensive applications (DIAs) seek to mine, manipulate, extract or otherwise exploit the potential intelligence hidden behind Big Data. However, several practitioner surveys remark that DIAs potential is still untapped because of very difficult and costly design, quality assessment and continuous refinement. To address the above shortcoming, we propose the use of a UML domain-specific modeling language or profile specifically tailored to support the design, assessment and continuous deployment of DIAs. This article illustrates our DIA-specific profile and outlines its usage in the context of DIA performance engineering and deployment. For DIA performance engineering, we rely on the Apache Hadoop technology, while for DIA deployment, we leverage the TOSCA language. We conclude that the proposed profile offers a powerful language for data-intensive software and systems modeling, quality evaluation and automated deployment of DIAs on private or public clouds.","Performance assessment, Profile, TOSCA language, Data-intensive applications, UML, Apache Hadoop, Model-driven deployment, Software design, Big Data","",""
"Conference Paper","Bisegna A,Carbone R,Ranise S","Integrating A Pentesting Tool For IdM Protocols In A Continuous Delivery Pipeline","","2021","","","94–110","","Springer-Verlag","Berlin, Heidelberg","Emerging Technologies for Authorization and Authentication: 4th International Workshop, ETAA 2021, Darmstadt, Germany, October 8, 2021, Revised Selected Papers","Darmstadt, Germany","2021","9783030937461","","https://doi-org.proxy.bnl.lu/10.1007/978-3-030-93747-8_7;http://dx.doi.org/10.1007/978-3-030-93747-8_7","10.1007/978-3-030-93747-8_7","Identity Management (IdM) solutions are increasingly important for digital infrastructures of both enterprises and public administrations. Their security is a mandatory prerequisite for building trust in current and future digital ecosystems. IdM solutions are usually large-scale complex software systems maintained and developed by several groups of ICT professionals. Continuous Delivery (CD) pipeline is adopted to make maintenance, extension, and deployment of such solutions as efficient and repeatable as possible. For security, CD pipeline is also used as a continuous risk assessment to quickly evaluate the security impact of changes. Several tools have been developed and integrated in the CD pipeline to support this view in the so called DevSecOps approach with the notable exception of a tool for protocol pentesting and compliance against standards such as SAML 2.0, OAuth 2.0 and OpenID Connect. To fill this gap, we propose an approach to integrate Micro-Id-Gym—a tool for the automated pentesting of IdM deployments—in a CD pipeline. We report our experience in doing this and discuss the advantages of using the tool in the context of a joint effort with Poligrafico e Zecca dello Stato Italiano to build a digital identity infrastructure.","","",""
"Conference Paper","Zhou P,Ali Khan AA,Liang P,Badshah S","System and Software Processes in Practice: Insights from Chinese Industry","","2021","","","394–401","","Association for Computing Machinery","New York, NY, USA","Evaluation and Assessment in Software Engineering","Trondheim, Norway","2021","9781450390538","","https://doi-org.proxy.bnl.lu/10.1145/3463274.3463786;http://dx.doi.org/10.1145/3463274.3463786","10.1145/3463274.3463786","Software development processes play a key role in the software and system development life cycle. Processes are becoming complex and evolve rapidly due to the modern-day continuous software engineering (CSE) concepts, which are mainly based on continuous integration, continuous delivery, infrastructure-as-code, automation and more. The fast growing Chinese software development industry adopts various processes to achieve potential benefits offered in the international market. This study is conducted with the aim to investigate the trends of processes in practice in the Chinese industry. The survey questionnaire data is collected from 34 practitioners working in software development firms across the China and the results highlight that iterative and agile processes are extensively used in industrial setting. Furthermore, agile and traditional approaches are combined to develop the hybrid processes. Most of the participants are satisfied using the current development processes, however, they show interest to continuously improve the existing process models and methods. Finally, we noticed that majority of the software development organizations used the ISO 9001 standard for process assessment and improvement activities. The given results provide preliminary overview of processes deployed in the Chinese industry.","Chinese industry, Survey, Process Improvement Standards, Software processes","","EASE 2021"
"Journal Article","Sabau AR,Hacks S,Steffens A","Implementation of a Continuous Delivery Pipeline for Enterprise Architecture Model Evolution","Softw. Syst. Model.","2021","20","1","117–145","","Springer-Verlag","Berlin, Heidelberg","","","2021-02","","1619-1366","https://doi-org.proxy.bnl.lu/10.1007/s10270-020-00828-z;http://dx.doi.org/10.1007/s10270-020-00828-z","10.1007/s10270-020-00828-z","The discipline of enterprise architecture (EA) is an established approach to model and manage the interaction of business processes and IT in an organization. Thereby, the EA model as a central artifact of EA is subject to a continuous evolution caused by multiple sources of changes. The continuous evolution requires a lot of effort in controlling and managing the evolution of the EA model. This is especially true when merging the induced changes from different sources in the EA model. Additionally, the lack of tool and automation support makes this a very time-consuming and error-prone task. The evolutionary character and the automated quality assessment of artifacts is a well-known challenge in the software development domain as well. To meet these challenges, the discipline of continuous delivery (CD) has emerged to be very useful. The evolution of EA model artifacts shows similarities to the evolution of software artifacts. Therefore, we leveraged practices of CD to practices of EA maintenance. Thus, we created a conceptual framework for automated EA model maintenance. The concepts were realized in a first prototype and were evaluated in a fictitious case study against equivalence classes based on EA model metrics and a set of several requirements for automated EA model maintenance from research. Overall, the concepts prove to be a promising basis for further refinement, implementation, and evaluation in research in an industrial context.","Enterprise architecture model evolution, Continuous delivery, Enterprise architecture model maintenance","",""
"Book","Krochmalski J","Docker and Kubernetes for Java Developers: Scale, Deploy, and Monitor Multi-Container Applications","","2017","","","","","Packt Publishing","","","","2017","9781786468390","","","","Key Features Master using Docker and Kubernetes to build, deploy and manage Java applications in a jiffLearn how to create your own Docker image and customize your own cluster using Kubernetes Empower the journey from development to production using this practical guide. Book Description Imagine creating and testing Java EE applications on Apache Tomcat Server or Wildfly Application server in minutes along with deploying and managing Java applications swiftly. Sounds too good to be true? But you have a reason to cheer as such scenarios are only possible by leveraging Docker and Kubernetes. This book will start by introducing Docker and delve deep into its networking and persistent storage concepts. You will then proceed to learn how to refactor monolith application into separate services by building an application and then packaging it into Docker containers. Next, you will create an image containing Java Enterprise Application and later run it using Docker. Moving on, the book will focus on Kubernetes and its features and you will learn to deploy a Java application to Kubernetes using Maven and monitor a Java application in production. By the end of the book, you will get hands-on with some more advanced topics to further extend your knowledge about Docker and Kubernetes. What you will learn Package Java applications into Docker images Understand the running of containers locally Explore development and deployment options with Docker Integrate Docker into Maven builds Manage and monitor Java applications running on Kubernetes clusters Create Continuous Delivery pipelines for Java applications deployed to Kubernetes About the Author Jaroslaw Krochmalski is a passionate software designer and developer who specializes in the financial business domain. He has over 12 years' experience in software development. He is a clean-code and software craftsmanship enthusiast. He is a Certified Scrum Master and a fan of Agile. His professional interests include new technologies in web application development, design patterns, enterprise architectures, and integration patterns. He has been designing and developing software professionally since 2000 and has been using Java as his primary programming language since 2002. In the past, he worked for companies such as Kredyt Bank (KBC) and Bank BPS on many large-scale projects such as international money orders, express payments, and collection systems. He currently works as a consultant at Danish company 7N as an infrastructure architect for the Nykredit bank. You can reach him via Twitter at @jkroch or by e-mail at jarek@finsys.pl.","","",""
"Book","Traukina A,Thomas J,Tyagi P,Reddipalli K","Industrial Internet Application Development: Simplify IIoT Development Using the Elasticity of Public Cloud and Native Cloud Services","","2018","","","","","Packt Publishing","","","","2018","9781788298599","","","","Your one-stop guide to designing, building, managing, and operating Industrial Internet of Things (IIoT) applications Key Features Build IIoT applications and deploy them on Platform as a Service (PaaS) Learn data analytics techniques in IIoT using Spark and TensorFlow Understand and combine Predix services to accelerate your development Book Description The Industrial Internet refers to the integration of complex physical machines with networked sensors and software. The current growth in the number of sensors deployed in heavy machinery and industrial equipment will lead to an exponential increase in data being captured that needs to be analyzed for predictive analytics. This also opens up a new avenue for developers who want to build exciting industrial applications. Industrial Internet Application Development serves as a one-stop guide for software professionals wanting to design, build, manage, and operate IIoT applications. You will develop your first IIoT application and understand its deployment and security considerations, followed by running through the deployment of IIoT applications on the Predix platform. Once you have got to grips with what IIoT is, you will move on to exploring Edge Development along with the analytics portions of the IIoT stack. All this will help you identify key elements of the development framework, and understand their importance when considering the overall architecture and design considerations for IIoT applications. By the end of this book, you will have grasped how to deploy IIoT applications on the Predix platform, as well as incorporate best practices for making fault-tolerant and reliable IIoT systems. What you will learn Connect prototype devices to Cloud Store data in IIoT applications Explore data management techniques and implementation Study IIoT applications analytics using Spark ML and TensorFlow Deploy analytics and visualize the outcomes as Alerts Understand continuous deployment using Docker and Cloud Foundry Make your applications fault-tolerant and monitor them with New Relic Understand IIoT platform architecture and implement IIoT applications on the platform Who this book is for This book is intended for software developers, architects, product managers, and executives keen to gain insights into Industrial Internet development. A basic knowledge of any popular programming language such as Python will be helpful.","","",""
"Book","Oliveira J,Bruchet M","Learning ASP.NET Core 2.0: Build Modern Web Apps with ASP.NET Core 2.0, MVC, and EF Core 2","","2017","","","","","Packt Publishing","","","","2017","9781788476638","","","","Learn how web applications can be built efficiently using ASP.NET Core 2.0 and related frameworks Key Features Get to grips with the new features and APIs introduced in ASP.NET Core 2.0Leverage the MVC framework and Entity Framework Core 2 to build efficient applications Learn to deploy your web applications in new environments such as the cloud and DockerBook DescriptionThe ability to develop web applications that are highly efficient but also easy to maintain has become imperative to many businesses. ASP.NET Core 2.0 is an open source framework from Microsoft, which makes it easy to build cross-platform web applications that are modern and dynamic. This book will take you through all of the essential concepts in ASP.NET Core 2.0, so you can learn how to build powerful web applications. The book starts with a brief introduction to the ASP.NET Core framework and the improvements made in the latest release, ASP.NET Core 2.0. You will then build, test, and debug your first web application very quickly. Once you understand the basic structure of ASP.NET Core 2.0 web applications, you'll dive deeper into more complex concepts and scenarios. Moving on, we'll explain how to take advantage of widely used frameworks such as Model View Controller and Entity Framework Core 2 and you'll learn how to secure your applications. Finally, we'll show you how to deploy and monitor your applications using Azure, AWS, and Docker. After reading the book, you'll be able to develop efficient and robust web applications in ASP.NET Core 2.0 that have high levels of customer satisfaction and adoption. What you will learnSet up your development environment using Visual Studio 2017 and Visual Studio CodeCreate a fully automated continuous delivery pipeline using Visual Studio Team ServicesGet to know the basic and advanced concepts of ASP.NET Core 2.0 with detailed examplesBuild an MVC web application and use Entity Framework Core 2 to access data Add Web APIs to your web applications using RPC, REST, and HATEOAS Authenticate and authorize users with built-in ASP.NET Core 2.0 features Use Azure, Amazon Web Services, and Docker to deploy and monitor your applications Who This Book Is For This book is for developers who would like to build modern web applications with ASP.NET Core 2.0. No prior knowledge of ASP.NET or .NET Core is required. However, basic programming knowledge is assumed. Additionally, previous Visual Studio experience will be helpful but is not required, since detailed instructions will guide through the samples of the book. This book can also help people, who work in infrastructure engineering and operations, to monitor and diagnose problems during the runtime of ASP.NET Core 2.0 web applications.","","",""
"Conference Paper","Morales JA,Yasar H,Volkman A","Implementing DevOps Practices in Highly Regulated Environments","","2018","","","","","Association for Computing Machinery","New York, NY, USA","Proceedings of the 19th International Conference on Agile Software Development: Companion","Porto, Portugal","2018","9781450364225","","https://doi-org.proxy.bnl.lu/10.1145/3234152.3234188;http://dx.doi.org/10.1145/3234152.3234188","10.1145/3234152.3234188","In this paper, we discuss implementing DevOps practices in highly regulated environments (HREs). DevOps has become a standard option for entities seeking to streamline and increase participation by all stakeholders in their Software Development Lifecycle (SDLC). For a large portion of industry, academia, and government, applying DevOps is a straight forward process. There is, however, a subset of entities in these three sectors where applying DevOps can be very challenging. These are entities mandated by policies to conduct all or a portion of their SDLC activities in HREs. Often, the reason for an HRE is general security and protection of intellectual property. Even if an entity is functioning in a highly regulated environment, its SDLC can still benefit from implementing DevOps as long as the implementation conforms to all imposed policies. In this paper, we discuss the process of performing a DevOps assessment and implementation in an HRE which we refer to as HRE-DevOps.","SDLC, DevOps assessment, highly regulated environment, DevOps, secure DevOps","","XP '18"
"Journal Article","Bennett BT","Shifting Traditional Undergraduate Software Engineering Instruction to a DevOps Focus","J. Comput. Sci. Coll.","2021","36","5","129–138","","Consortium for Computing Sciences in Colleges","Evansville, IN, USA","","","2021-01","","1937-4771","","","Classical Software Engineering education often includes traditional methodologies that do not adequately describe today's industry practice. DevOps is a culture that promotes fast delivery, continuous feedback, and an environment of learning. Its non-linear path requires a shift in software engineering pedagogy. This case study describes the redevelopment of a second-semester course in software engineering to focus on DevOps principles. The study evaluates student performance using formative and summative assessment through a team project tracked throughout the semester and final exam results. Results indicated that students developed DevOps skills during the course, but may have needed more reinforcement of some traditional Software Engineering topics.","","",""
"Conference Paper","van Deursen A","Software Engineering without Borders","","2017","","","3","","IEEE Press","Urbana-Champaign, IL, USA","Proceedings of the 32nd IEEE/ACM International Conference on Automated Software Engineering","","2017","9781538626849","","","","DevOps approaches software engineering by advocating the removal of borders between development and operations. DevOps emphasizes operational resilience, continuous feedback from operations back to development, and rapid deployment of features developed. In this talk we will look at selected (automation) aspects related to DevOps, based on our collaborations with various industrial partners. For example, we will explore (automated) methods for analyzing log data to support deployments and monitor REST API integrations, (search-based) test input generation for reproducing crashes and testing complex database queries, and zero downtime database schema evolution and deployment. We will close by looking at borders beyond those between development and operations, in order to see whether there are other borders we need to remove in order to strengthen the impact of software engineering research.","","","ASE 2017"
"Book","Leonard A","Data Integration Life Cycle Management with SSIS: A Short Introduction by Example","","2017","","","","1st","Apress","USA","","","2017","9781484232750","","","","Build a custom BimlExpress framework that generates dozens of SQL Server Integration Services (SSIS) packages in minutes. Use this framework to execute related SSIS packages in a single command. You will learn to configure SSIS catalog projects, manage catalog deployments, and monitor SSIS catalog execution and history. Data Integration Life Cycle Management with SSISshows you how to bring DevOps benefits to SSIS integration projects. Practices in this book enable faster time to market, higher quality of code, and repeatable automation. Code will be created that is easier to support and maintain. The book teaches you how to more effectively manage SSIS in the enterprise environment by drawing on the art and science of modern DevOps practices. What You'll Learn Generate dozens of SSIS packages in minutes to speed your integration projects Reduce the execution of related groups of SSIS packages to a single command Successfully handle SSIS catalog deployments and their projects Monitor the execution and history of SSIS catalog projects Manage your enterprise data integration life cycle through automated tools and utilities Who This Book Is For Database professionals working with SQL Server Integration Services in enterprise environments. The book is especially useful to those readers following, or wishing to follow, DevOps practices in their use of SSIS.","","",""
"Book","Palermo J","..NET DevOps for Azure: A Developer's Guide to DevOps Architecture the Right Way","","2019","","","","1st","Apress","USA","","","2019","9781484253427","","","","Use this book as your one-stop shop for architecting a world-class DevOps environment with Microsoft technologies. .NET DevOps for Azure is a synthesis of practices, tools, and process that, together, can equip a software organization to move fast and deliver the highest quality software. The book begins by discussing the most common challenges faced by developers in DevOps today and offers options and proven solutions on how to implement DevOps for your team. Daily, millions of developers use .NET to build and operate mission-critical software systems for organizations around the world. While the marketplace has scores of information about the technology, it is completely up to you to put together all the blocks in the right way for your environment. This book provides you with a model to build on. The relevant principles are covered first along with how to implement that part of the environment. And while variances in tools, language, or requirements will change the needed implementation, the DevOps model is the architecture for the working environment for your team. You can modify parts of the model to customize it to your enterprise, but the architecture will enable all of your teams and applications to accelerate in performance. What You Will Learn Get your .NET applications into a DevOps environment in Azure Analyze and address the part of your DevOps process that causes delays or bottlenecks Track code using Azure Repos and conduct acceptance tests Apply the rules for segmenting applications into Git repositories Understand the different types of builds and when to use each Know how to think about code validation in your DevOps environment Provision and configure environments; deploy release candidates across the environments in Azure Monitor and support software that has been deployed to a production environment Who This Book Is For .NET Developers who are using or want to use DevOps in Azure but don't know where to begin","","",""
"Book","Hsu T","Hands-On Security in DevOps: Ensure Continuous Security, Deployment, and Delivery with DevSecOps","","2018","","","","","Packt Publishing","","","","2018","9781788995504","","","","Protect your organization's security at all levels by introducing the latest strategies for securing DevOps Key Features Integrate security at each layer of the DevOps pipeline Discover security practices to protect your cloud services by detecting fraud and intrusion Explore solutions to infrastructure security using DevOps principles Book Description DevOps has provided speed and quality benefits with continuous development and deployment methods, but it does not guarantee the security of an entire organization. Hands-On Security in DevOps shows you how to adopt DevOps techniques to continuously improve your organizations security at every level, rather than just focusing on protecting your infrastructure. This guide combines DevOps and security to help you to protect cloud services, and teaches you how to use techniques to integrate security directly in your product. You will learn how to implement security at every layer, such as for the web application, cloud infrastructure, communication, and the delivery pipeline layers. With the help of practical examples, youll explore the core security aspects, such as blocking attacks, fraud detection, cloud forensics, and incident response. In the concluding chapters, you will cover topics on extending DevOps security, such as risk assessment, threat modeling, and continuous security. By the end of this book, you will be well-versed in implementing security in all layers of your organization and be confident in monitoring and blocking attacks throughout your cloud services. What you will learn Understand DevSecOps culture and organization Learn security requirements, management, and metrics Secure your architecture design by looking at threat modeling, coding tools and practices Handle most common security issues and explore black and white-box testing tools and practices Work with security monitoring toolkits and online fraud detection rules Explore GDPR and PII handling case studies to understand the DevSecOps lifecycle Who this book is for Hands-On Security in DevOps is for system administrators, security consultants, and DevOps engineers who want to secure their entire organization. Basic understanding of Cloud computing, automation frameworks, and programming is necessary.","","",""
"Conference Paper","Pietrantuono R,Bertolino A,De Angelis G,Miranda B,Russo S","Towards Continuous Software Reliability Testing in DevOps","","2019","","","21–27","","IEEE Press","Montreal, Quebec, Canada","Proceedings of the 14th International Workshop on Automation of Software Test","","2019","","","https://doi-org.proxy.bnl.lu/10.1109/AST.2019.00009;http://dx.doi.org/10.1109/AST.2019.00009","10.1109/AST.2019.00009","We introduce the DevOpRET approach for continuous reliability testing in DevOps. It leverages information monitored in operation to guide operational-profile based testing, which is conceived as part of the acceptance testing stage before each next release to production. We overview the envisaged test and monitoring pipeline, describe the approach and present a case-study evaluating how reliability assessment evolves over subsequent releases.","quality gate, operational profile, DevOps, acceptance test, software reliability testing","","AST '19"
"Book","Farcic V","The DevOps 2.2 Toolkit","","2018","","","","","Packt Publishing","","","","2018","9781788991278","","","","Learn from an expert on how use self-adapting and self-healing systems within Docker. Key Features Viktor Farcic shows you all aspects in the creation of self-adapting and self-healing systems in both a practical and hands-on approach. Learn how to choose a successful solution for metrics storage and query, including InfluxDB, Nagios and Sensu, Prometheus and Graphite. Discover how to integrate Docker Flow Monitor with Docker Flow Proxy. How to apply Docker self-healing and self-adaptive to both services and infrastructure. Book Description Building on The DevOps 2.0 Toolkit and The DevOps 2.1 Toolkit: Docker Swarm, Viktor Farcic brings his latest exploration of the Docker technology as he records his journey to explore two new programs, self-adaptive and self-healing systems within Docker. The DevOps 2.2 Toolkit: Self-Sufficient Docker Clusters is the latest book in Viktor Farcic's series that helps you build a full DevOps Toolkit. This book in the series looks at Docker, the tool designed to make it easier in the creation and running of applications using containers. In this latest entry, Viktor combines theory with a hands-on approach to guide you through the process of creating self-adaptive and self-healing systems. Within this book, Viktor will cover a wide-range of emerging topics, including what exactly self-adaptive and self-healing systems are, how to choose a solution for metrics storage and query, the creation of cluster-wide alerts and what a successful self-sufficient system blueprint looks like. Work with Viktor and dive into the creation of self-adaptive and self-healing systems within Docker. What you will learn Let Viktor Farcic show you all aspects in the creation of self-adapting and self-healing systems in both a practical and hands-on approach. Learn how to choose a successful solution for metrics storage and query, including InfluxDB, Nagios and Sensu, Prometheus and Graphite. Understand how to integrate Docker Flow Monitor with Docker Flow Proxy. The creation of cluster-wide alerts by creating alerts based on metrics. How to apply self-healing and self-adaptive to both services and infrastructure. Who this book is forThis book is for professionals experienced with Docker looking to create both self-adapting and self-healing systems using the software.","","",""
"Book","Tak R,Modi J","Mobile DevOps: Deliver Continuous Integration and Deployment within Your Mobile Applications","","2018","","","","","Packt Publishing","","","","2018","9781788296243","","","","This step-by-step guide will teach you to continuously improve your mobile application development process Key Features Efficiently deliver continuous integration and deployment within all the stages of your application's lifecycle Learn to implement mobile DevOps with Xamarin and Visual Studio Deliver high quality and performing mobile applications Book Description Today's world is all about perfection, and there are hundreds of applications that are released each day out of which only a few succeed. Making sure that the app looks, performs, and behaves as expected is one of the biggest challenge developers face today. The main goal of this book is to teach developers to implement DevOps to build, test, and deliver. This book will teach you to implement Mobile DevOps at every stage of your application's lifecycle with Visual Studio and Xamarin Mobile Lifecycle solutions. Later, it will also show you how to leverage Mobile Center's continuous integration and automated testing to develop a high-quality applications. Next, you'll see how to mobilize your on-premises data to the cloud and increase your productivity with code reuse. Finally, you'll discover how to find and fix bugs beforehand, improving the efficiency of your application while it is being developed. By the end of this book, you will be well-versed with Mobile DevOps techniques, delivering high quality and high performance mobile apps. What you will learnBecome fluent with the basic components of Mobile DevopsFind out how to use code repositories and install Git on an EC2 server and manage users and groups Set up an Android device for development and install Visual Studio and Xamarin on Windows Create an Android project and UI for applications Add permissions to Android Manifest Write tests with Xamarin. UI and test using test cloud to check it on multiple devices Monitor and optimize the application using the Android monitoring tool Debug the mobile application and improve its efficiency Who This Book Is ForIf you are a programmer and developer who wants to increase the efficiency and scalability of your mobile application with the implementation of DevOps, then this book is for you. You need basic experience of the application process development.","","",""
"Conference Paper","Pourmajidi W,Miranskyy A,Steinbacher J,Erwin T,Godwin D","Dogfooding: Using IBM Cloud Services to Monitor IBM Cloud Infrastructure","","2019","","","344–353","","IBM Corp.","USA","Proceedings of the 29th Annual International Conference on Computer Science and Software Engineering","Toronto, Ontario, Canada","2019","","","","","The stability and performance of Cloud platforms are essential as they directly impact customers' satisfaction. Cloud service providers use Cloud monitoring tools to ensure that rendered services match the quality of service requirements indicated in established contracts such as service-level agreements.Given the enormous number of resources that need to be monitored, highly scalable and capable monitoring tools are designed and implemented by Cloud service providers such as Amazon, Google, IBM, and Microsoft. Cloud monitoring tools monitor millions of virtual and physical resources and continuously generate logs for each one of them. Considering that logs magnify any technical issue, they can be used for disaster detection, prevention, and recovery. However, logs are useless if they are not assessed and analyzed promptly. Thus, we argue that the scale of Cloud-generated logs makes it impossible for DevOps teams to analyze them effectively. This implies that one needs to automate the process of monitoring and analysis (e.g., using machine learning and artificial intelligence). If the automation will witness an anomaly in the logs --- it will alert DevOps staff.The automatic anomaly detectors require a reliable and scalable platform for gathering, filtering, and transforming the logs, executing the detector models, and sending out the alerts to the DevOps staff. In this work, we report on implementing a prototype of such a platform based on the 7-layered architecture pattern, which leverages micro-service principles to distribute tasks among highly scalable, resources-efficient modules. The modules interact with each other via an instance of the Publish-Subscribe architectural pattern. The platform is deployed on the IBM Cloud service infrastructure and is used to detect anomalies in logs emitted by the IBM Cloud services, hence the dogfooding. In particular, we leverage IBM Cloud Functions to deploy the computing modules, IBM Event Streams to establish communication among the modules, and IBM Cloud Object Storage and IBM Cloudant for persistent storage.The prototype efficiency is promising: it takes the platform 17 seconds or less from the point of receiving a new log record to emitting an alert to the IBM Cloud DevOps team.","","","CASCON '19"
"Conference Paper","Daoudagh S,Lonetti F,Marchetti E","Continuous Development and Testing of Access and Usage Control: A Systematic Literature Review","","2020","","","51–59","","Association for Computing Machinery","New York, NY, USA","Proceedings of the 2020 European Symposium on Software Engineering","Rome, Italy","2020","9781450377621","","https://doi-org.proxy.bnl.lu/10.1145/3393822.3432330;http://dx.doi.org/10.1145/3393822.3432330","10.1145/3393822.3432330","Context: Development and testing of access/usage control systems is a growing research area. With new trends in software development such as DevOps, the development of access/usage control also has to evolve. Objective: The main aim of this paper is to provide an overview of research proposals in the area of continuous development and testing of access and usage control systems. Method: The paper uses a Systematic Literature Review as a research method to define the research questions and answer them following a systematic approach. With the specified search string, 210 studies were retrieved. After applying the inclusion and exclusion criteria in two phases, a final set of 20 primary studies was selected for this review. Results: Results show that primary studies are mostly published in security venues followed by software engineering venues. Furthermore, most of the studies are based on the standard XACML access control language. In addition, a significant portion of the proposals for development and testing is automated with test assessment and generation the most targeted areas. Some general guidelines for leveraging continuous developing and testing of the usage and access control systems inside the DevOps process are also provided.","Testing, Systematic Literature Review, XACML, Access Control, DevOps","","ESSE 2020"
"Book","Forsgren N,Humble J,Kim G","Accelerate: The Science of Lean Software and DevOps Building and Scaling High Performing Technology Organizations","","2018","","","","1st","IT Revolution Press","","","","2018","9781942788331","","","","Accelerate your organization to win in the marketplace. How can we apply technology to drive business value? For years, we've been told that the performance of software delivery teams doesn't matterthat it can't provide a competitive advantage to our companies. Through four years of groundbreaking research to include data collected from the State of DevOps reports conducted with Puppet, Dr. Nicole Forsgren, Jez Humble, and Gene Kim set out to find a way to measure software delivery performanceand what drives itusing rigorous statistical methods. This book presents both the findings and the science behind that research, making the information accessible for readers to apply in their own organizations. Readers will discover how to measure the performance of their teams, and what capabilities they should invest in to drive higher performance. This book is ideal for management at every level.","","",""
"Book","Sawhney R","Beginning Azure Functions: Building Scalable and Serverless Apps","","2019","","","","1st","Apress","USA","","","2019","9781484244432","","","","Create highly scalable apps and monitor Azure functions in production using Azure Functions 2.0. This book takes you through durable functions for statefulness and covers not only the basics, but also how to create bindings in durable functions. It is a deep dive into the Azure Functions serverless API and will guide you through the process of converting monolithic applications to use Azure functions. The author starts by giving an overview of serverless architecture and Azure functions along with Azure App Services. You will then learn to create basic Azure functions using the Azure portal and Visual Studio. Next, you will create a serverless API using Azure Functions and migrate an existing application to Azure Functions. Finally, you will deploy an Azure function and monitor it in production. Here you will deploy the Azure function using ARM templates and secure and configure CORS for Azure functions. After reading this book, you will be able to understand Azure functions and create them using the Azure portal and Visual Studio. What You Will Learn Understand and use triggers and bindings in an Azure function Create a serverless API using Azure Functions and OpenAPI Deploy an Azure function and monitor it in production Understand durable Azure functions, including scalability, disaster recovery, and geo-distribution Who This Book Is ForDevelopers who want to get started with Azure Functions. DevOps will also find value in the guidance for deploying and monitoring functions.","","",""
"Conference Paper","Islam MS,Pourmajidi W,Zhang L,Steinbacher J,Erwin T,Miranskyy A","Anomaly Detection in a Large-Scale Cloud Platform","","2021","","","150–159","","IEEE Press","Virtual Event, Spain","Proceedings of the 43rd International Conference on Software Engineering: Software Engineering in Practice","","2021","9780738146690","","https://doi-org.proxy.bnl.lu/10.1109/ICSE-SEIP52600.2021.00024;http://dx.doi.org/10.1109/ICSE-SEIP52600.2021.00024","10.1109/ICSE-SEIP52600.2021.00024","Cloud computing is ubiquitous: more and more companies are moving the workloads into the Cloud. However, this rise in popularity challenges Cloud service providers, as they need to monitor the quality of their ever-growing offerings effectively. To address the challenge, we designed and implemented an automated monitoring system for the IBM Cloud Platform. This monitoring system utilizes deep learning neural networks to detect anomalies in near-real-time in multiple Platform components simultaneously.After running the system for a year, we observed that the proposed solution frees the DevOps team's time and human resources from manually monitoring thousands of Cloud components. Moreover, it increases customer satisfaction by reducing the risk of Cloud outages.In this paper, we share our solutions' architecture, implementation notes, and best practices that emerged while evolving the monitoring system. They can be leveraged by other researchers and practitioners to build anomaly detectors for complex systems.","","","ICSE-SEIP '21"
"Conference Paper","Castellanos C,Varela CA,Correal D","Measuring Performance Quality Scenarios in Big Data Analytics Applications: A DevOps and Domain-Specific Model Approach","","2019","","","165–172","","Association for Computing Machinery","New York, NY, USA","Proceedings of the 13th European Conference on Software Architecture - Volume 2","Paris, France","2019","9781450371421","","https://doi-org.proxy.bnl.lu/10.1145/3344948.3344986;http://dx.doi.org/10.1145/3344948.3344986","10.1145/3344948.3344986","Big data analytics (BDA) applications use advanced analysis algorithms to extract valuable insights from large, fast, and heterogeneous data sources. These complex BDA applications require software design, development, and deployment strategies to deal with volume, velocity, and variety (3vs) while sustaining expected performance levels. BDA software complexity frequently leads to delayed deployments, longer development cycles and challenging performance monitoring. This paper proposes a DevOps and Domain Specific Model (DSM) approach to design, deploy, and monitor performance Quality Scenarios (QS) in BDA applications. This approach uses high-level abstractions to describe deployment strategies and QS enabling performance monitoring. Our experimentation compares the effort of development, deployment and QS monitoring of BDA applications with two use cases of near mid-air collisions (NMAC) detection. The use cases include different performance QS, processing models, and deployment strategies. Our results show shorter (re)deployment cycles and the fulfillment of latency and deadline QS for micro-batch and batch processing.","software architecture, big data analytics, domain specific model, DevOps, performance quality scenarios","","ECSA '19"
